snapshot_date,symbol,contract_date,label,tenor,price
2026-04-13,U7J26,2026-04-01,Apr 2026,0,229.75
2026-04-13,U7K26,2026-05-01,May 2026,1,224.0
2026-04-13,U7M26,2026-06-01,Jun 2026,2,224.0
2026-04-13,U7N26,2026-07-01,Jul 2026,3,224.5
2026-04-13,U7Q26,2026-08-01,Aug 2026,4,226.0
2026-04-13,U7U26,2026-09-01,Sep 2026,5,227.25
2026-04-13,U7V26,2026-10-01,Oct 2026,6,229.5
2026-04-13,U7X26,2026-11-01,Nov 2026,7,230.5
2026-04-13,U7Z26,2026-12-01,Dec 2026,8,231.5
2026-04-13,U7F27,2027-01-01,Jan 2027,9,235.0
2026-04-13,U7G27,2027-02-01,Feb 2027,10,236.0
2026-04-13,U7H27,2027-03-01,Mar 2027,11,237.0
2026-04-13,U7J27,2027-04-01,Apr 2027,12,239.5
2026-04-13,U7K27,2027-05-01,May 2027,13,240.0
2026-04-13,U7M27,2027-06-01,Jun 2027,14,241.0
2026-04-13,U7N27,2027-07-01,Jul 2027,15,242.0
2026-04-13,U7Q27,2027-08-01,Aug 2027,16,242.5
2026-04-13,U7U27,2027-09-01,Sep 2027,17,243.0
2026-04-13,U7V27,2027-10-01,Oct 2027,18,243.5
2026-04-13,U7X27,2027-11-01,Nov 2027,19,244.5
2026-04-13,U7Z27,2027-12-01,Dec 2027,20,244.5
2026-04-13,U7F28,2028-01-01,Jan 2028,21,244.5
2026-04-13,U7G28,2028-02-01,Feb 2028,22,244.5
2026-04-13,U7H28,2028-03-01,Mar 2028,23,244.5
2026-04-13,U7J28,2028-04-01,Apr 2028,24,244.5
2026-04-13,U7K28,2028-05-01,May 2028,25,244.5
2026-04-13,U7M28,2028-06-01,Jun 2028,26,244.5
2026-04-13,U7N28,2028-07-01,Jul 2028,27,244.5
2026-04-13,U7Q28,2028-08-01,Aug 2028,28,244.5
2026-04-13,U7U28,2028-09-01,Sep 2028,29,244.5
2026-04-13,U7V28,2028-10-01,Oct 2028,30,244.5
2026-04-13,U7X28,2028-11-01,Nov 2028,31,244.5
2026-04-13,U7Z28,2028-12-01,Dec 2028,32,244.5
2026-04-13,U7F29,2029-01-01,Jan 2029,33,244.5
2026-04-13,U7G29,2029-02-01,Feb 2029,34,244.5
2026-04-13,U7H29,2029-03-01,Mar 2029,35,244.5
2026-04-13,U7J29,2029-04-01,Apr 2029,36,244.5
2026-04-13,U7K29,2029-05-01,May 2029,37,244.5
2026-04-13,U7M29,2029-06-01,Jun 2029,38,244.5
2026-04-13,U7N29,2029-07-01,Jul 2029,39,244.5
2026-04-13,U7Q29,2029-08-01,Aug 2029,40,239.0
2026-04-13,U7U29,2029-09-01,Sep 2029,41,239.0
2026-04-13,U7V29,2029-10-01,Oct 2029,42,239.0
2026-04-13,U7X29,2029-11-01,Nov 2029,43,239.0
2026-04-13,U7Z29,2029-12-01,Dec 2029,44,239.0
2026-04-13,U7F30,2030-01-01,Jan 2030,45,239.0
2026-04-13,U7G30,2030-02-01,Feb 2030,46,239.0
2026-04-13,U7H30,2030-03-01,Mar 2030,47,239.0
2026-04-13,U7J30,2030-04-01,Apr 2030,48,239.0
2026-04-13,U7K30,2030-05-01,May 2030,49,239.0
2026-04-13,U7M30,2030-06-01,Jun 2030,50,239.0
2026-04-13,U7N30,2030-07-01,Jul 2030,51,239.0
2026-04-13,U7Q30,2030-08-01,Aug 2030,52,239.0
2026-04-13,U7U30,2030-09-01,Sep 2030,53,239.0
2026-04-13,U7V30,2030-10-01,Oct 2030,54,239.0
2026-04-13,U7X30,2030-11-01,Nov 2030,55,239.0
2026-04-13,U7Z30,2030-12-01,Dec 2030,56,239.0
2026-04-14,U7J26,2026-04-01,Apr 2026,0,231.5
2026-04-14,U7K26,2026-05-01,May 2026,1,223.5
2026-04-14,U7M26,2026-06-01,Jun 2026,2,224.25
2026-04-14,U7N26,2026-07-01,Jul 2026,3,226.0
2026-04-14,U7Q26,2026-08-01,Aug 2026,4,227.0
2026-04-14,U7U26,2026-09-01,Sep 2026,5,228.0
2026-04-14,U7V26,2026-10-01,Oct 2026,6,228.5
2026-04-14,U7X26,2026-11-01,Nov 2026,7,229.0
2026-04-14,U7Z26,2026-12-01,Dec 2026,8,229.5
2026-04-14,U7F27,2027-01-01,Jan 2027,9,232.5
2026-04-14,U7G27,2027-02-01,Feb 2027,10,233.5
2026-04-14,U7H27,2027-03-01,Mar 2027,11,234.5
2026-04-14,U7J27,2027-04-01,Apr 2027,12,237.5
2026-04-14,U7K27,2027-05-01,May 2027,13,238.5
2026-04-14,U7M27,2027-06-01,Jun 2027,14,239.5
2026-04-14,U7N27,2027-07-01,Jul 2027,15,240.0
2026-04-14,U7Q27,2027-08-01,Aug 2027,16,241.0
2026-04-14,U7U27,2027-09-01,Sep 2027,17,242.0
2026-04-14,U7V27,2027-10-01,Oct 2027,18,243.0
2026-04-14,U7X27,2027-11-01,Nov 2027,19,243.5
2026-04-14,U7Z27,2027-12-01,Dec 2027,20,243.5
2026-04-14,U7F28,2028-01-01,Jan 2028,21,243.5
2026-04-14,U7G28,2028-02-01,Feb 2028,22,243.5
2026-04-14,U7H28,2028-03-01,Mar 2028,23,243.5
2026-04-14,U7J28,2028-04-01,Apr 2028,24,243.5
2026-04-14,U7K28,2028-05-01,May 2028,25,243.5
2026-04-14,U7M28,2028-06-01,Jun 2028,26,243.5
2026-04-14,U7N28,2028-07-01,Jul 2028,27,243.5
2026-04-14,U7Q28,2028-08-01,Aug 2028,28,243.5
2026-04-14,U7U28,2028-09-01,Sep 2028,29,243.5
2026-04-14,U7V28,2028-10-01,Oct 2028,30,243.5
2026-04-14,U7X28,2028-11-01,Nov 2028,31,243.5
2026-04-14,U7Z28,2028-12-01,Dec 2028,32,243.5
2026-04-14,U7F29,2029-01-01,Jan 2029,33,243.5
2026-04-14,U7G29,2029-02-01,Feb 2029,34,243.5
2026-04-14,U7H29,2029-03-01,Mar 2029,35,243.5
2026-04-14,U7J29,2029-04-01,Apr 2029,36,243.5
2026-04-14,U7K29,2029-05-01,May 2029,37,243.5
2026-04-14,U7M29,2029-06-01,Jun 2029,38,243.5
2026-04-14,U7N29,2029-07-01,Jul 2029,39,243.5
2026-04-14,U7Q29,2029-08-01,Aug 2029,40,237.0
2026-04-14,U7U29,2029-09-01,Sep 2029,41,237.0
2026-04-14,U7V29,2029-10-01,Oct 2029,42,237.0
2026-04-14,U7X29,2029-11-01,Nov 2029,43,237.0
2026-04-14,U7Z29,2029-12-01,Dec 2029,44,237.0
2026-04-14,U7F30,2030-01-01,Jan 2030,45,237.0
2026-04-14,U7G30,2030-02-01,Feb 2030,46,237.0
2026-04-14,U7H30,2030-03-01,Mar 2030,47,237.0
2026-04-14,U7J30,2030-04-01,Apr 2030,48,237.0
2026-04-14,U7K30,2030-05-01,May 2030,49,237.0
2026-04-14,U7M30,2030-06-01,Jun 2030,50,237.0
2026-04-14,U7N30,2030-07-01,Jul 2030,51,237.0
2026-04-14,U7Q30,2030-08-01,Aug 2030,52,237.0
2026-04-14,U7U30,2030-09-01,Sep 2030,53,237.0
2026-04-14,U7V30,2030-10-01,Oct 2030,54,237.0
2026-04-14,U7X30,2030-11-01,Nov 2030,55,237.0
2026-04-14,U7Z30,2030-12-01,Dec 2030,56,237.0
2026-04-15,U7J26,2026-04-01,Apr 2026,0,232.0
2026-04-15,U7K26,2026-05-01,May 2026,1,226.0
2026-04-15,U7M26,2026-06-01,Jun 2026,2,226.0
2026-04-15,U7N26,2026-07-01,Jul 2026,3,227.0
2026-04-15,U7Q26,2026-08-01,Aug 2026,4,228.0
2026-04-15,U7U26,2026-09-01,Sep 2026,5,229.0
2026-04-15,U7V26,2026-10-01,Oct 2026,6,230.25
2026-04-15,U7X26,2026-11-01,Nov 2026,7,230.75
2026-04-15,U7Z26,2026-12-01,Dec 2026,8,231.25
2026-04-15,U7F27,2027-01-01,Jan 2027,9,233.0
2026-04-15,U7G27,2027-02-01,Feb 2027,10,233.5
2026-04-15,U7H27,2027-03-01,Mar 2027,11,234.0
2026-04-15,U7J27,2027-04-01,Apr 2027,12,236.0
2026-04-15,U7K27,2027-05-01,May 2027,13,237.0
2026-04-15,U7M27,2027-06-01,Jun 2027,14,238.0
2026-04-15,U7N27,2027-07-01,Jul 2027,15,239.0
2026-04-15,U7Q27,2027-08-01,Aug 2027,16,240.0
2026-04-15,U7U27,2027-09-01,Sep 2027,17,241.0
2026-04-15,U7V27,2027-10-01,Oct 2027,18,242.0
2026-04-15,U7X27,2027-11-01,Nov 2027,19,243.0
2026-04-15,U7Z27,2027-12-01,Dec 2027,20,243.0
2026-04-15,U7F28,2028-01-01,Jan 2028,21,243.0
2026-04-15,U7G28,2028-02-01,Feb 2028,22,243.0
2026-04-15,U7H28,2028-03-01,Mar 2028,23,243.0
2026-04-15,U7J28,2028-04-01,Apr 2028,24,243.0
2026-04-15,U7K28,2028-05-01,May 2028,25,243.0
2026-04-15,U7M28,2028-06-01,Jun 2028,26,243.0
2026-04-15,U7N28,2028-07-01,Jul 2028,27,243.0
2026-04-15,U7Q28,2028-08-01,Aug 2028,28,243.0
2026-04-15,U7U28,2028-09-01,Sep 2028,29,243.0
2026-04-15,U7V28,2028-10-01,Oct 2028,30,243.0
2026-04-15,U7X28,2028-11-01,Nov 2028,31,243.0
2026-04-15,U7Z28,2028-12-01,Dec 2028,32,243.0
2026-04-15,U7F29,2029-01-01,Jan 2029,33,243.0
2026-04-15,U7G29,2029-02-01,Feb 2029,34,243.0
2026-04-15,U7H29,2029-03-01,Mar 2029,35,243.0
2026-04-15,U7J29,2029-04-01,Apr 2029,36,243.0
2026-04-15,U7K29,2029-05-01,May 2029,37,243.0
2026-04-15,U7M29,2029-06-01,Jun 2029,38,243.0
2026-04-15,U7N29,2029-07-01,Jul 2029,39,243.0
2026-04-15,U7Q29,2029-08-01,Aug 2029,40,236.0
2026-04-15,U7U29,2029-09-01,Sep 2029,41,236.0
2026-04-15,U7V29,2029-10-01,Oct 2029,42,236.0
2026-04-15,U7X29,2029-11-01,Nov 2029,43,236.0
2026-04-15,U7Z29,2029-12-01,Dec 2029,44,236.0
2026-04-15,U7F30,2030-01-01,Jan 2030,45,236.0
2026-04-15,U7G30,2030-02-01,Feb 2030,46,236.0
2026-04-15,U7H30,2030-03-01,Mar 2030,47,236.0
2026-04-15,U7J30,2030-04-01,Apr 2030,48,236.0
2026-04-15,U7K30,2030-05-01,May 2030,49,236.0
2026-04-15,U7M30,2030-06-01,Jun 2030,50,236.0
2026-04-15,U7N30,2030-07-01,Jul 2030,51,236.0
2026-04-15,U7Q30,2030-08-01,Aug 2030,52,236.0
2026-04-15,U7U30,2030-09-01,Sep 2030,53,236.0
2026-04-15,U7V30,2030-10-01,Oct 2030,54,236.0
2026-04-15,U7X30,2030-11-01,Nov 2030,55,236.0
2026-04-15,U7Z30,2030-12-01,Dec 2030,56,236.0
