snapshot_date,symbol,contract_date,label,tenor,price
2026-04-13,JCJ26,2026-04-01,Apr 2026,0,694.25
2026-04-13,JCK26,2026-05-01,May 2026,1,685.0
2026-04-13,JCM26,2026-06-01,Jun 2026,2,655.0
2026-04-13,JCN26,2026-07-01,Jul 2026,3,607.5
2026-04-13,JCQ26,2026-08-01,Aug 2026,4,400.0
2026-04-13,JCU26,2026-09-01,Sep 2026,5,595.0
2026-04-14,JCJ26,2026-04-01,Apr 2026,0,701.25
2026-04-14,JCK26,2026-05-01,May 2026,1,690.0
2026-04-14,JCM26,2026-06-01,Jun 2026,2,655.0
2026-04-14,JCN26,2026-07-01,Jul 2026,3,612.5
2026-04-14,JCQ26,2026-08-01,Aug 2026,4,400.0
2026-04-14,JCU26,2026-09-01,Sep 2026,5,595.0
2026-04-15,JCJ26,2026-04-01,Apr 2026,0,719.0
2026-04-15,JCK26,2026-05-01,May 2026,1,732.5
2026-04-15,JCM26,2026-06-01,Jun 2026,2,682.5
2026-04-15,JCN26,2026-07-01,Jul 2026,3,625.0
2026-04-15,JCQ26,2026-08-01,Aug 2026,4,400.0
2026-04-15,JCU26,2026-09-01,Sep 2026,5,600.0
2026-04-16,JCJ26,2026-04-01,Apr 2026,0,720.25
2026-04-16,JCK26,2026-05-01,May 2026,1,737.5
2026-04-16,JCM26,2026-06-01,Jun 2026,2,690.0
2026-04-16,JCN26,2026-07-01,Jul 2026,3,645.0
2026-04-16,JCQ26,2026-08-01,Aug 2026,4,400.0
2026-04-16,JCU26,2026-09-01,Sep 2026,5,610.0
2026-04-17,JCJ26,2026-04-01,Apr 2026,0,713.0
2026-04-17,JCK26,2026-05-01,May 2026,1,705.0
2026-04-17,JCM26,2026-06-01,Jun 2026,2,680.0
2026-04-17,JCN26,2026-07-01,Jul 2026,3,580.0
2026-04-17,JCQ26,2026-08-01,Aug 2026,4,580.0
2026-04-17,JCU26,2026-09-01,Sep 2026,5,580.0
2026-04-18,JCJ26,2026-04-01,Apr 2026,0,702.25
2026-04-18,JCK26,2026-05-01,May 2026,1,657.5
2026-04-18,JCM26,2026-06-01,Jun 2026,2,627.5
2026-04-18,JCN26,2026-07-01,Jul 2026,3,550.0
2026-04-18,JCQ26,2026-08-01,Aug 2026,4,540.0
2026-04-18,JCU26,2026-09-01,Sep 2026,5,540.0
2026-04-19,JCJ26,2026-04-01,Apr 2026,0,702.25
2026-04-19,JCK26,2026-05-01,May 2026,1,657.5
2026-04-19,JCM26,2026-06-01,Jun 2026,2,627.5
2026-04-19,JCN26,2026-07-01,Jul 2026,3,550.0
2026-04-19,JCQ26,2026-08-01,Aug 2026,4,540.0
2026-04-19,JCU26,2026-09-01,Sep 2026,5,540.0
2026-04-20,JCJ26,2026-04-01,Apr 2026,0,702.25
2026-04-20,JCK26,2026-05-01,May 2026,1,657.5
2026-04-20,JCM26,2026-06-01,Jun 2026,2,627.5
2026-04-20,JCN26,2026-07-01,Jul 2026,3,550.0
2026-04-20,JCQ26,2026-08-01,Aug 2026,4,540.0
2026-04-20,JCU26,2026-09-01,Sep 2026,5,540.0
2026-04-21,JCJ26,2026-04-01,Apr 2026,0,692.5
2026-04-21,JCK26,2026-05-01,May 2026,1,655.0
2026-04-21,JCM26,2026-06-01,Jun 2026,2,622.5
2026-04-21,JCN26,2026-07-01,Jul 2026,3,550.0
2026-04-21,JCQ26,2026-08-01,Aug 2026,4,540.0
2026-04-21,JCU26,2026-09-01,Sep 2026,5,540.0
2026-04-22,JCJ26,2026-04-01,Apr 2026,0,691.5
2026-04-22,JCK26,2026-05-01,May 2026,1,632.5
2026-04-22,JCM26,2026-06-01,Jun 2026,2,600.0
2026-04-22,JCN26,2026-07-01,Jul 2026,3,555.0
2026-04-22,JCQ26,2026-08-01,Aug 2026,4,540.0
2026-04-22,JCU26,2026-09-01,Sep 2026,5,530.0
2026-04-23,JCJ26,2026-04-01,Apr 2026,0,694.75
2026-04-23,JCK26,2026-05-01,May 2026,1,660.0
2026-04-23,JCM26,2026-06-01,Jun 2026,2,620.0
2026-04-23,JCN26,2026-07-01,Jul 2026,3,560.0
2026-04-23,JCQ26,2026-08-01,Aug 2026,4,550.0
2026-04-23,JCU26,2026-09-01,Sep 2026,5,530.0
2026-04-24,JCJ26,2026-04-01,Apr 2026,0,694.0
2026-04-24,JCK26,2026-05-01,May 2026,1,657.5
2026-04-24,JCM26,2026-06-01,Jun 2026,2,622.5
2026-04-24,JCN26,2026-07-01,Jul 2026,3,545.0
2026-04-24,JCQ26,2026-08-01,Aug 2026,4,545.0
2026-04-24,JCU26,2026-09-01,Sep 2026,5,540.0
2026-04-25,JCJ26,2026-04-01,Apr 2026,0,692.25
2026-04-25,JCK26,2026-05-01,May 2026,1,650.0
2026-04-25,JCM26,2026-06-01,Jun 2026,2,584.0
2026-04-25,JCN26,2026-07-01,Jul 2026,3,580.0
2026-04-25,JCQ26,2026-08-01,Aug 2026,4,580.0
2026-04-25,JCU26,2026-09-01,Sep 2026,5,557.5
2026-04-26,JCJ26,2026-04-01,Apr 2026,0,692.25
2026-04-26,JCK26,2026-05-01,May 2026,1,650.0
2026-04-26,JCM26,2026-06-01,Jun 2026,2,584.0
2026-04-26,JCN26,2026-07-01,Jul 2026,3,580.0
2026-04-26,JCQ26,2026-08-01,Aug 2026,4,580.0
2026-04-26,JCU26,2026-09-01,Sep 2026,5,557.5
2026-04-27,JCJ26,2026-04-01,Apr 2026,0,692.25
2026-04-27,JCK26,2026-05-01,May 2026,1,650.0
2026-04-27,JCM26,2026-06-01,Jun 2026,2,584.0
2026-04-27,JCN26,2026-07-01,Jul 2026,3,580.0
2026-04-27,JCQ26,2026-08-01,Aug 2026,4,580.0
2026-04-27,JCU26,2026-09-01,Sep 2026,5,557.5
2026-04-28,JCJ26,2026-04-01,Apr 2026,0,690.5
2026-04-28,JCK26,2026-05-01,May 2026,1,640.0
2026-04-28,JCM26,2026-06-01,Jun 2026,2,595.0
2026-04-28,JCN26,2026-07-01,Jul 2026,3,565.0
2026-04-28,JCQ26,2026-08-01,Aug 2026,4,560.0
2026-04-28,JCU26,2026-09-01,Sep 2026,5,562.5
2026-04-29,JCJ26,2026-04-01,Apr 2026,0,687.75
2026-04-29,JCK26,2026-05-01,May 2026,1,625.0
2026-04-29,JCM26,2026-06-01,Jun 2026,2,593.5
2026-04-29,JCN26,2026-07-01,Jul 2026,3,565.0
2026-04-29,JCQ26,2026-08-01,Aug 2026,4,560.0
2026-04-29,JCU26,2026-09-01,Sep 2026,5,562.5
2026-04-30,JCJ26,2026-04-01,Apr 2026,0,682.05
2026-04-30,JCK26,2026-05-01,May 2026,1,631.0
